method,deployable,diagnostic_oracle,datasets,mean_official_rank_all_14,median_official_rank_all_14,mean_deployable_rank_12,mean_RMSSE_descriptive,geometric_mean_RMSSE_descriptive,coverage_evaluable_datasets,coverage_constraint_passes,mean_absolute_coverage_violation,median_absolute_coverage_violation,cross_dataset_average_rank_order
unconstrained_oracle,False,True,5,1.0,1.0,,0.5496296302208387,0.5329956106764394,5,0,0.23614670302850396,0.2229224054824946,1
coverage_constrained_oracle,False,True,5,2.0,2.0,,0.5554664979411934,0.5388224759355511,5,5,5.050244076576505e-06,4.256369657840154e-07,2
hard_random_forest_same_features,True,False,5,3.6,3.0,1.6,0.6176021301362485,0.6013270355155822,5,3,0.02298439349952748,0.0185581973423227,3
equal_weight_average,True,False,5,5.8,5.0,3.8,0.6846790080297541,0.6543719231476975,0,0,,,4
hard_aalf_like_router,True,False,5,6.2,6.0,4.2,0.6350475192846098,0.619291841236181,5,2,0.027023709331198364,0.0296093153700055,5
lightgbm_only,True,False,5,8.0,6.0,6.0,0.7680102401413521,0.7068780238882054,5,0,0.7,0.7,6
static_full_router,True,False,5,8.0,8.0,5.9,0.6994768052227045,0.6652239148315126,5,2,0.02979242427523544,0.0233998178273787,7
soft_targets_only,True,False,5,8.8,8.0,6.9,0.712403145630074,0.6735029685825108,5,1,0.030375061373470458,0.0279064883718359,8
adaptive_full_router,True,False,5,9.2,10.0,7.2,0.7056767443727642,0.6694478911543762,5,4,0.010373733992048736,0.0013752330362387,9
hard_logistic_same_features,True,False,5,9.2,10.0,7.2,0.7033950940378613,0.6694369080020293,5,1,0.0336445885758327,0.0342684577470184,10
residual_features_only,True,False,5,9.6,12.0,7.6,0.6482299388780709,0.6323689362731457,5,2,0.02631756092669258,0.0238041729448119,11
class_weight_only,True,False,5,10.0,11.0,8.0,0.7048210205524192,0.670532126235529,5,1,0.0338315032749326,0.0345621472533647,12
ridge_only,True,False,5,11.0,13.0,9.0,0.6576906516554953,0.6430915681516922,5,0,0.3,0.3,13
seasonal_naive,True,False,5,12.6,14.0,10.6,0.9910460529084858,0.9899462293935091,0,0,,,14
