sample_order,dataset_id,series_id,series_type,source_order,selection_rank_within_type,selection_digest,length,missing_count,nonfinite_count,zero_count,negative_count,iqr,standard_deviation,mean_squared_first_difference
1,weather_daily,T3,rain,3,117,25d7f6fa172d0de583fb8676ee3cc4546b1da559021d25dd69f58c794b172c42,5716,0,0,2882,0,3.05083876060785,7.680059062045867,88.66860557116667
2,weather_daily,T16,rain,16,65,1769caabe77043db825d0a5e68c4704a7972441dd4a7c718e6be7d474b058555,13751,0,0,7378,0,1.46513480392157,4.401595819259158,29.412881594055005
3,weather_daily,T18,rain,18,89,1f7d69f48c857a108e264cbc97f6ce5de8537f5c4f79a325ecc579e37a122aee,9368,0,0,5544,0,2.0,9.8919122405938,137.70020357412133
4,weather_daily,T29,rain,29,19,07a48c391250e18dd95f3b24da7aacdc797dad8552eaa117845dafb6fbb42019,6811,0,0,4007,0,2.2,10.164860809067465,142.1193590527992
5,weather_daily,T33,rain,33,82,1d8038cfc07580a4cf04c6b0c208db47bfb3650f3a7a13aaf000a5b1a1ab244d,28726,0,0,20052,0,0.5,5.018204705912207,41.10573211803502
6,weather_daily,T41,rain,41,24,08f13bc4504bb9b50e70b70900b5d36a72a486664afc8c6c8920e7627dbb18c3,49179,0,0,36333,0,0.3,5.693823228676186,53.239701644152554
7,weather_daily,T45,rain,45,90,1f83299348a72f3387f80917c421fe76616bb6671b113803a733c38491b25b7d,7907,0,0,5101,0,0.6,7.541703042785539,82.13253807953392
8,weather_daily,T79,rain,79,4,0222cecb2ce96f41b13a35004de9a4be62a6397e739662f0ba011a95837f1205,10829,0,0,5135,0,3.78825569298347,9.046133425136375,125.9919837651672
9,weather_daily,T80,rain,80,71,1983cbe2cf36743d9f1cf7d9419a54ae1a1e4bf33a3bd38cbac02248b3429473,5716,0,0,3069,0,1.2,5.3020286916232395,46.092930840162104
10,weather_daily,T82,rain,82,43,1182618430180d4b83eab7c2f9ae1c1fe56a93a5ffd978bf0a1b469c6eea6885,28726,0,0,8563,0,1.67352613061014,3.8201270350141416,24.22487293646387
11,weather_daily,T89,rain,89,17,07990af9322509ffbca50fddc4434ce60e3f4fb536d8ccf767fb48d3287358ba,47353,0,0,35504,0,0.1,4.831677616641929,37.98016348151856
12,weather_daily,T99,rain,99,41,10f04388587fb0251f76818bc876e8e8bb31068e06e52374c29506ce7debcd2c,9368,0,0,5144,0,2.0,7.42543161393592,87.78581240126833
13,weather_daily,T100,rain,100,121,26d5dcfdbd5bbc20704f4bbbe9bddf70d133a929cd67ca071e0c6029b9ecfe68,50640,0,0,39102,0,0.0,5.896578681548228,57.16929714360209
14,weather_daily,T105,rain,105,76,1b048009626927b6d0d29af933a8f0ff6fdaf4839adaa8b466de2a47c8afe278,22517,0,0,15338,0,1.11209345409634,4.071137418572697,28.77667713827671
15,weather_daily,T106,rain,106,35,0e5f091e591571cd9125f9955cc10863437a9f845efbd8aa201756692e321de1,9003,0,0,5064,0,2.0,9.608639132926816,131.55879768039495
16,weather_daily,T107,rain,107,78,1b7d42693a311f93a706d9cf2afafa0fbc77ebe306821e7e788c5ff7ce67f34c,4985,0,0,3188,0,1.2,4.864421407701082,38.12524733767259
17,weather_daily,T123,rain,123,30,0ca4680193704f1128cb75669fff4fe18a7a57d18f785e045595806d591ed9fb,27996,0,0,15948,0,1.0,4.88755996469919,37.92385642878508
18,weather_daily,T133,rain,133,81,1cc07ddcf8404cee4c0e5f457f263a387d9b9973f73c451ed39bcce2362bfefa,8272,0,0,5999,0,0.2,3.7531213795891,23.402058350633965
19,weather_daily,T138,rain,138,13,06a1cca62ffcb592f788d8bab637c55b08d3fccc77244560ef6264d1e5a193d4,25191,0,0,18205,0,0.4,6.079823723766803,59.689669349633434
20,weather_daily,T139,rain,139,16,0737f9d4f8f652a0a0f03e1d84cd0caca3960c1f54c8e4b6bdc5d4384b3a077f,50640,0,0,27738,0,3.68369635143829,10.103849636007132,139.9444125475116
